address,name,size_bytes,callers,callees
0x00826400,entry_trampoline,4,0,1
0x00826408,FUN_00826408,8,0,1
0x00826410,FUN_00826410,36,1,3
0x00826434,FUN_00826434,8,1,1
0x0082643c,FUN_0082643c,20,1,3
0x00826450,FUN_00826450,32,1,2
0x00826470,FUN_00826470,32,0,2
0x00826490,FUN_00826490,78,1,3
0x00826512,FUN_00826512,256,0,7
0x00826664,reset_handler,180,1,4
0x008267cc,FUN_008267cc,52,14,0
0x0082687e,FUN_0082687e,26,1,1
0x00826898,FUN_00826898,84,10,2
0x00826904,FUN_00826904,52,1,5
0x00826938,FUN_00826938,14,0,2
0x00826946,FUN_00826946,42,1,4
0x00826970,FUN_00826970,28,1,6
0x0082698c,FUN_0082698c,52,1,10
0x008269e4,FUN_008269e4,74,0,3
0x00826a2e,FUN_00826a2e,40,0,1
0x00826a60,FUN_00826a60,28,0,2
0x00826a7c,FUN_00826a7c,180,1,4
0x00826b30,FUN_00826b30,60,1,3
0x00826b6e,FUN_00826b6e,28,0,3
0x00826b8a,FUN_00826b8a,38,1,2
0x00826bb0,FUN_00826bb0,48,0,2
0x00826be0,FUN_00826be0,66,0,3
0x00826c22,FUN_00826c22,120,0,3
0x00826c9a,FUN_00826c9a,70,0,1
0x00826ce0,FUN_00826ce0,50,3,2
0x00826d12,FUN_00826d12,16,3,1
0x00826d22,FUN_00826d22,96,0,7
0x00826d82,FUN_00826d82,360,0,9
0x00826f16,FUN_00826f16,20,1,3
0x00826f2a,FUN_00826f2a,94,1,6
0x00826f88,FUN_00826f88,32,2,2
0x00826fa8,FUN_00826fa8,34,1,2
0x00826fca,FUN_00826fca,136,1,4
0x00827052,FUN_00827052,98,1,3
0x008270c8,FUN_008270c8,84,1,6
0x00827128,FUN_00827128,16,10,1
0x00827138,FUN_00827138,32,1,3
0x00827158,FUN_00827158,24,1,3
0x00827170,FUN_00827170,66,1,3
0x008271b2,FUN_008271b2,204,0,18
0x0082727e,FUN_0082727e,72,0,17
0x0082734c,FUN_0082734c,64,1,3
0x008273b0,FUN_008273b0,70,1,4
0x008273f6,hub_task_fn_a,38,0,2
0x0082741c,hub_task_init,48,1,2
0x0082744c,hub_task_fn_c,34,9,1
0x00827480,FUN_00827480,48,4,9
0x008274b0,FUN_008274b0,24,1,5
0x008274c8,thunk_FUN_008274b0,2,1,0
0x008274ca,FUN_008274ca,12,1,2
0x008274d6,FUN_008274d6,8,0,1
0x008274de,FUN_008274de,148,2,6
0x00827572,FUN_00827572,16,1,3
0x00827582,FUN_00827582,32,3,4
0x008275a2,FUN_008275a2,98,3,11
0x00827604,FUN_00827604,48,1,4
0x00827634,FUN_00827634,34,1,6
0x00827656,FUN_00827656,64,2,10
0x00827696,FUN_00827696,8,1,1
0x0082769e,FUN_0082769e,6,8,0
0x008276a4,FUN_008276a4,6,3,0
0x008276aa,FUN_008276aa,12,2,0
0x008276b6,FUN_008276b6,28,1,0
0x008276d2,FUN_008276d2,28,1,0
0x008276ee,FUN_008276ee,12,2,0
0x008276fa,FUN_008276fa,12,2,0
0x00827706,FUN_00827706,18,1,0
0x00827718,FUN_00827718,10,2,0
0x00827722,FUN_00827722,22,1,1
0x0082773e,FUN_0082773e,6,1,0
0x00827744,FUN_00827744,10,1,0
0x0082774e,FUN_0082774e,28,1,0
0x0082776a,FUN_0082776a,32,1,0
0x0082778a,FUN_0082778a,10,3,0
0x00827794,FUN_00827794,30,1,1
0x008277b2,FUN_008277b2,6,1,0
0x008277b8,FUN_008277b8,6,1,0
0x008277be,FUN_008277be,6,2,0
0x008277c4,FUN_008277c4,36,1,1
0x008277e8,FUN_008277e8,28,1,0
0x00827804,FUN_00827804,12,2,0
0x00827810,FUN_00827810,18,1,0
0x00827822,FUN_00827822,12,2,0
0x0082782e,FUN_0082782e,18,1,0
0x00827840,FUN_00827840,10,1,0
0x0082784a,FUN_0082784a,18,1,0
0x008278a8,FUN_008278a8,80,3,5
0x008278f8,FUN_008278f8,54,1,6
0x0082792e,FUN_0082792e,106,0,6
0x00827998,FUN_00827998,64,1,1
0x008279d8,FUN_008279d8,8,3,0
0x008279e0,FUN_008279e0,14,1,1
0x008279ee,FUN_008279ee,62,17,1
0x00827a2c,FUN_00827a2c,36,1,1
0x00827a50,FUN_00827a50,12,2,1
0x00827a5c,FUN_00827a5c,26,1,0
0x00827a76,FUN_00827a76,16,2,1
0x00827aa0,FUN_00827aa0,12,1,1
0x00827aac,FUN_00827aac,16,1,0
0x00827acc,FUN_00827acc,28,0,1
0x00827ae8,FUN_00827ae8,28,1,1
0x00827b04,FUN_00827b04,38,1,2
0x00827b2a,FUN_00827b2a,2,1,0
0x00827b2c,FUN_00827b2c,2,1,0
0x00827b30,FUN_00827b30,20,3,1
0x00827b44,FUN_00827b44,38,1,2
0x00827b6a,FUN_00827b6a,40,1,2
0x00827b92,FUN_00827b92,40,1,2
0x00827bba,FUN_00827bba,2,1,0
0x00827bbc,FUN_00827bbc,2,1,0
0x00827bd8,FUN_00827bd8,30,1,1
0x00827bdc,FUN_00827bdc,2,1,0
0x00827bde,FUN_00827bde,4,1,0
0x00827be2,FUN_00827be2,46,1,3
0x00827c10,FUN_00827c10,70,1,9
0x00827c56,FUN_00827c56,126,1,5
0x00827cd4,FUN_00827cd4,82,1,4
0x00827d26,FUN_00827d26,120,1,7
0x00827d9e,FUN_00827d9e,8,1,0
0x00827da6,FUN_00827da6,652,1,12
0x00828060,FUN_00828060,576,1,19
0x008282bc,FUN_008282bc,24,1,2
0x008282d4,FUN_008282d4,12,0,1
0x008282e0,FUN_008282e0,8,1,0
0x00828300,FUN_00828300,40,4,1
0x00828328,FUN_00828328,50,1,1
0x0082835a,FUN_0082835a,124,6,2
0x008283d6,FUN_008283d6,30,3,1
0x008283f4,FUN_008283f4,28,0,2
0x00828410,FUN_00828410,22,0,1
0x00828426,FUN_00828426,128,4,4
0x008284a6,FUN_008284a6,26,0,2
0x008284c0,FUN_008284c0,20,0,1
0x008284d4,FUN_008284d4,160,0,4
0x00828574,FUN_00828574,54,1,1
0x008285ac,FUN_008285ac,18,0,2
0x008285be,FUN_008285be,40,0,2
0x008285e6,FUN_008285e6,12,0,1
0x008285f2,FUN_008285f2,16,25,2
0x00828602,FUN_00828602,24,13,2
0x0082861a,FUN_0082861a,24,0,2
0x00828632,FUN_00828632,20,0,1
0x00828646,FUN_00828646,92,1,3
0x008286b0,FUN_008286b0,22,1,0
0x008286c6,FUN_008286c6,18,3,1
0x008286e8,FUN_008286e8,180,2,11
0x0082879c,FUN_0082879c,86,0,6
0x008287f2,FUN_008287f2,22,0,1
0x00828854,FUN_00828854,66,0,5
0x00828896,FUN_00828896,152,1,14
0x0082892e,FUN_0082892e,62,1,2
0x0082896c,FUN_0082896c,104,1,2
0x00828a1a,FUN_00828a1a,280,1,12
0x00828b76,FUN_00828b76,14,4,0
0x00828b84,FUN_00828b84,16,0,1
0x00828b94,FUN_00828b94,10,1,0
0x00828b9e,FUN_00828b9e,128,1,9
0x00828c1e,FUN_00828c1e,20,1,1
0x00828c32,FUN_00828c32,112,0,8
0x00828cd4,FUN_00828cd4,26,1,3
0x00828cee,FUN_00828cee,12,18,0
0x00828cfa,FUN_00828cfa,28,1,1
0x00828d48,FUN_00828d48,46,8,3
0x00828d76,FUN_00828d76,44,1,3
0x00828da2,FUN_00828da2,46,23,2
0x00828dd0,FUN_00828dd0,26,0,1
0x00828dea,FUN_00828dea,26,1,2
0x00828e04,FUN_00828e04,24,1,2
0x00828e66,FUN_00828e66,18,1,1
0x00828e78,FUN_00828e78,46,1,2
0x00828ea6,FUN_00828ea6,10,1,1
0x00828eba,FUN_00828eba,40,1,1
0x00828ee2,FUN_00828ee2,44,1,2
0x00828f0e,FUN_00828f0e,34,1,1
0x00828f30,FUN_00828f30,46,1,2
0x00828f5e,FUN_00828f5e,18,1,1
0x00828f70,FUN_00828f70,18,1,1
0x00828f82,FUN_00828f82,18,1,1
0x00828f94,FUN_00828f94,36,1,1
0x00828fb8,FUN_00828fb8,10,1,1
0x00828fd4,FUN_00828fd4,28,1,1
0x00829002,FUN_00829002,18,1,1
0x00829080,FUN_00829080,18,1,1
0x008290cc,FUN_008290cc,48,1,2
0x00829152,FUN_00829152,24,0,1
0x0082916a,FUN_0082916a,24,2,1
0x00829182,FUN_00829182,24,0,1
0x0082919a,FUN_0082919a,24,0,1
0x008291b2,FUN_008291b2,6,1,0
0x008291b8,FUN_008291b8,48,3,1
0x008291e8,FUN_008291e8,112,3,17
