address,string
0x00826780,"Thu Mar 17 10:58:10 2022"
0x0082679c,"1.4.1.0"
0x008273a8,"qc_app"
0x00827eac,"3.10.06_"
0x00827eb8,"260429"
0x00827ec0,"RT12_V3.1"
0x00829cfc,"qc_timer_restart"
0x0082a2b0,"app_ring_sport_data_id"
0x0082a7a4,"m_heart_rate_timer_id"
0x0082d490,"_%01X%01X%01X%01X"
0x0082d4a4,"O_%s_%01X%01X%01X%01X"
0x0082d4c0,"%s_%01X%01X%01X%01X"
0x0082d4dc,"_%02X"
0x0082d4ec,"%s%01X%01X%01X%01X"
0x0082d6e4,"RT12_V3.1"
0x0082d6f0,"RT12_"
0x0082d6f8,"3.10.06_"
0x0082d704,"260429"
0x0082e0f0,"m_ble_packet_timer_id"
0x0082e464,"m_ota_write_flag_id"
0x0082e488,"RT12_V3.1"
0x0082e89c,"RT08_TP_FILE_0x1FD4_250106_01"
0x0082ece8,"RT12_V3.1"
0x0082f0e4,"RT12_"
0x0082f0ec,"3.10.06_"
0x0082f0f8,"260429"
0x0082f1e8,"battery_sample_power_on"
0x0082f6cc,"con paramter update timer"
0x008305d4,"(%02d)%02x"
0x00830ac4,"sports_mode_timer"
0x00833208,"gsensor_read_timer_id"
0x00833224,"gsensor_shake_flag_timer_id"
0x00833244,"..\..\..\..\qc_code\app_module\gsensor\lis3dh_spi.c"
0x00833b74,"..\..\..\..\qc_code\app_module\hr\hr_module.c"
0x00838532,"pGError! Please implement your ISR Handler for IRQ %d!\n"
0x008386f8,"SetActiveTimer"
0x00840234,"Ready to update MAC!\n"
0x008403c8,"wrong signature! Read %8X != Requried %8X\n"
0x008404ab,"#malloc %d bytes fail!"
0x008407f4,"old config len %d"
0x00840808,"item[%d] len %d"
0x00840820,"malloc %d bytes fail!"
0x00840838,"new config len %d, backup_len %d"
0x00840924,"Header is invalid\n"
0x00840938,"pos %02x, offset %02x\n"
0x00840954,"item[%02x] found!"
0x00843eb8,"sdk lib version: %d.%d.%d.%d ,commit ID:%x "
0x00844ea4,"app_send_msg_to_apptask"
0x00844ebc,"app_main_task"
0x00844eca,"hub_task_init"
0x00844ed8,"send_msg_to_hub_task"
0x00844eed,"hub_task"
0x00845588,"DUK-AL20"
0x00845598,"VOG-AL00"
0x008455e2,"Feb 04 2015"
0x00845784,"core30fx_v0.23"
0x00845a10,"malloc"
0x00845a17,"calloc"
0x00845a1e,"realloc"
0x008461d4,"gatts_add_client"
0x008463ec,"le_vendor_drop_acl_data"
0x00846404,"le_vendor_update_conn_param"
0x00846420,"le_vendor_set_priority"
0x00846608,"_cfg_write_to_flash"
0x0084661c,"cfg_add_item"
0x00846629,"cfg_del_item"
0x00846770,"Scene_B"
0x00846778,"Scene_C"
0x00846780,"BootOnce"
0x008467a8,"UART0"
0x008467b0,"GDMA0 Channel0"
0x008467c0,"GPIO_Group0"
0x008467cc,"Enhanced_Timer0"
0x008467ec,"UART1"
0x008467f4,"GDMA0 Channel1"
0x00846804,"GPIO_Group1"
0x00846810,"Enhanced_Timer1"
0x00846828,"GDMA0 Channel2"
0x00846838,"GPIO_Group2"
0x0084684c,"GDMA0 Channel3"
0x0084685c,"GPIO_Group3"
0x00846870,"GPIO4"
0x00846878,"Timer4-5"
0x0084688c,"GPIO5"
0x00846894,"BTMAC"
0x008468b8,"LPCOMP"
0x008468c0,"InitialSP"
0x008468d0,"PendSV"
0x008468d8,"SPI2W"
0x008468e0,"I2S0_RX"
0x008468e8,"I2S0_TX"
0x008468f8,"Qdecode"
0x00846900,"MemManage"
0x0084690c,"CAP_Touch"
0x00846918,"SPI_Flash"
0x00846924,"SysTick"
0x0084692c,"Peripheral"
0x00846938,"System"
0x00846940,"Platform"
0x0084694c,"Keyscan"
0x00846954,"DebugMon"
0x00846960,"Reset"
0x00846968,"HardFault"
0x00846974,"UsageFault"
0x00846980,"BusFault"
0x0084698c,"PTA_Mailbox"
0x008475da,"V1 read characteristic"
0x00847644,"VC_HRV_16Bit_integration_6.0_addRMSSD"
0x00847968,"lib_BIODetect_V14_1"
0x0084799a,"spo2_VC30F_S_int_limit_ed01"
